001325-0001	Highly recommended
040616-0002	Since then we have decided to have them manage our other investment properties as well as we getting older and can no longer perform all the inquires.
040616-0003	Great help!
041925-0001	I heard the libido band play live and they are out of site!!
041925-0002	I will be calling tropics for my companies next event!
042012-0001	When in Scordia, Sicily
042012-0002	If ever in Sicily please take the time to visit Anna Maria Jose Mudo and her familia.
042012-0003	They are and always will be the nicest people in Sicily that you will meet.
042012-0004	You will also have the pleasure of learning the Italiano language.
042012-0005	You will also have the experience of learning the bella Sicilian culture, that I have fallen in luv with.
042012-0006	I will 4-ever be eternally grateful for their hospitality and luv that my Sicilian family showed me when I was there for 3 years.
042012-0007	Luv always..
042085-0001	Rubbish
042085-0002	Took 1+ hour to deliver to Chatham, hair in food, driver didn't know area.
042085-0003	Noticed a few of these Cookie cutter places opening in Summit and New Providence.
042085-0004	Stick to Hop Hing, 20 year+ resident.
042416-0001	Can't wait to go back!!!
042416-0002	This is by far the BEST B&B that we have ever stayed at!
042416-0003	We were in Santa Fe for a special event and our hosts rented out the El Paradero for all their guests to stay at.
042416-0004	We could not have been more welcomed, more comfortable or more well fed.
042416-0005	The weekend was perfect in every way, in large part to Sue and her great staff.
042416-0006	Everyone was so friendly and really went out of their way to make sure everything went well.
042416-0007	We can not wait to go back to Santa Fe and to this great B&B...especially my 4 year old, who made friends with Ms. Sue and all the ladies, and has talked about them since we left!
042416-0008	We would highly recommend the El Paradero on your next trip to Santa Fe!
042530-0001	a staple!
042530-0002	I live in the neighborhood and this place is one of my favorites for a tasty, quick and inexpensive meal.
042530-0003	Branch out and try something other than the Pad Thai, the curries are fantastic.
042530-0004	Fast and friendly service, they know my order when I walk in the door!
043020-0001	Quick to take money but not quick to fix a problem!
043020-0002	B&B came out very quickly to give us our quote back in June.
043020-0003	They were very polite, eager to answer any questions and willing to wait for us to return from vacation to begin installing our fence.
043020-0004	Our fence was installed quickly in August and they had their money and left saying "Workmanship is guaranteed for a year!".
043020-0005	Within a week we noticed one of the boards on our gate splitting where a nail had gone in.
043020-0006	We called our representative who assured me he would call the office and have it taken care of.
043020-0007	We heard nothing.
043020-0008	We then called the office and the man we spoke to said he'd send someone out to look at it but couldn't promise when- two weeks came and went and we heard nothing.
043020-0009	I just called again and was told that workmanship, not wood, is guaranteed for a year- well in my opinion- the wood split due to a nail which is part of workmanship!
043020-0010	She even went so far as to say "Your calling about one board?"
043020-0011	Well- when you pay over $1000 for something you want it to hold up and look good!!!
043020-0012	YES!
043020-0013	I WAS calling about one board!!
043020-0014	I'm very frustrated at this point- it would take all of 10 min for them to come by and replace the one board that is cracked (the crack is deep enough to stick a penny in it and it goes clear through) yet they do not want to take the time to bother with what once WAS a happy customer and has now become a dissatisfied customer.
043020-0015	So I figure if they don't want to take the time to fix the fence that they installed then I'll take the time to let everyone I can know about how they treat customers once they have your money!!!
043020-0016	STAY AWAY!!!
043020-0017	YOU GET WHAT YOU PAY FOR!!!
043020-0018	They came in under a lot of other quotes and now I know why!!!
043020-0019	When the fence was first installed I would have given them five stars, now for their poor customer follow-up and unwillingness to fix the fence they have dropped to a one-star in my opinion!
044427-0001	Good and Bad
044427-0002	I had to take care of the ants myself.
044427-0003	But I found the location wonderful and the neighbors very kind.
044427-0004	Never had a problem with the staff and found them very helpful when something went wrong.
044427-0005	Loved the pool and BBQ.
044427-0006	Because of the ants I dropped them to a 3 star.
045753-0001	Compare to last decade this University is gaining more prestige in International level
045972-0001	Feel good
045972-0002	I just wanted to try your clinic because I was not totally happy with my current therapist I regularly see.
045972-0003	Now I've found someone who can manage to do what I really want.
046500-0001	Mens and Boys Barbers, on the number 9 Bus route.
046500-0002	Ladies room, Open Sundays
046906-0001	rug works for me
047007-0001	Called to check if they had a product I've been using on my dog for years... the boy who answered the phone couldn't possibly have been ruder to me.
047007-0002	I will never come here again.
047184-0001	New training Centre is excellent
047184-0002	The Award Dance Centre has moved from its Holderness Road site to a new complex on Chamberlain Road Hull.
047184-0003	The new Centre has 4 studios planned and now boasts the largest single dance floor area in Kingston upon Hull.
047184-0004	The classes cover all age and skill ranges, with BALLROOM, LATIN, SEQUENCE, STREET, DISCO, LINE DANCING, BALLET, TAP & JAZZ.
047184-0005	We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening....
047184-0006	It is not really possible to score this school too highly, We would give it 12 out of 10 and 5 Stars across the board Steve & Anne
047762-0001	My Favorite place at Wildwood
047762-0002	I have been going to the Wildwood, NJ for over 30 years for summer vacations and always call the Madrid first.
047762-0003	I rated it 5 stars.
047762-0004	I am not saying it is a 5 star hotel.
047762-0005	I am saying when comparing all other hotels in Wildwood, this hotel has everything that we are looking for.
